run_id,step,split,difficulty,reasoning_steps,exact_match,token_acc,n_episodes,stored_exact_match
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,0.3323353293413174,0.944361290710415,334,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,0.9910179640718563,0.9992514971844451,334,0.9910179640718563
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",5,0.9610778443113772,0.9965069866822865,334,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",6,0.1317365269461078,0.9184131866800571,334,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",7,0.6377245508982036,0.9678143776819378,334,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,0.9970059880239521,0.9997504990614817,334,0.9970059880239521
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",3,0.996996996996997,0.9997497498094141,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,0.996996996996997,0.9997497498094141,333,0.996996996996997
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",5,0.9219219219219219,0.9934934950447656,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",6,0.6516516516516516,0.9677177230875056,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",7,0.8078078078078078,0.9832332366937632,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,1.0,1.0,333,1.0
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",3,0.984984984984985,0.9987487490470703,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,0.993993993993994,0.9994994996188281,333,0.993993993993994
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",5,0.2552552552552553,0.9349349482997402,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",6,0.0,0.9076576732300423,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",7,0.3153153153153153,0.9389389506331435,333,
75f014a16a02_s1,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,1.0,1.0,333,1.0
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,0.16467065868263472,0.9293912336854877,334,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,0.9760479041916168,0.9980039924918535,334,0.9760479041916168
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",5,0.7694610778443114,0.9805389266171142,334,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",6,0.08982035928143713,0.9069361377975897,334,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",7,0.0718562874251497,0.9131736666142584,334,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,0.9850299401197605,0.9987524953074084,334,0.9850299401197605
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",3,0.933933933933934,0.9942442454375304,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,0.996996996996997,0.9997497498094141,333,0.996996996996997
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",5,0.8378378378378378,0.9857357385996226,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",6,0.4144144144144144,0.9456957047050064,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",7,0.4084084084084084,0.9486987094979387,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,1.0,1.0,333,1.0
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",3,0.4444444444444444,0.9444444512461757,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,0.996996996996997,0.9997497498094141,333,0.996996996996997
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",5,0.8678678678678678,0.9889889916142186,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",6,0.21621621621621623,0.9284284410175977,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",7,0.6996996996996997,0.9739739794630904,333,
75f014a16a02_s2,40000,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,0.996996996996997,0.9997497498094141,333,0.996996996996997
75f014a16a02_s3,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,0.8263473053892215,0.9847804422150115,334,
75f014a16a02_s3,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,0.9730538922155688,0.9977544915533352,334,0.9730538922155688
75f014a16a02_s3,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",5,0.718562874251497,0.9750499050774261,334,
75f014a16a02_s3,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",6,0.3502994011976048,0.9288922205656588,334,
75f014a16a02_s3,40000,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",7,0.5898203592814372,0.9643213647211383,334,
