config_hash,model,task,step,reasoning_steps,split,difficulty,n_seeds,provisional,dev,diverged_k,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_values,exact_match_ci95_lo,exact_match_ci95_hi,exact_match_mean_incl_failed,token_acc_mean,params
e98c9a22b8de,bdh,compose,2500,1,interp,"{""depth"": 1}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,10010880
e98c9a22b8de,bdh,compose,2500,1,interp,"{""depth"": 2}",3,True,False,0,0.0006666666666666666,0.0009428090415820634,0.0,0.002,"[0.002, 0.0, 0.0]",0.0,0.002,0.0006666666666666666,0.0006666666666666666,10010880
e98c9a22b8de,bdh,compose,5000,1,interp,"{""depth"": 1}",3,True,False,0,0.08333333333333333,0.025525586292102196,0.05,0.112,"[0.05, 0.088, 0.112]",0.05000000000000001,0.112,0.08333333333333333,0.08333333333333333,10010880
e98c9a22b8de,bdh,compose,5000,1,interp,"{""depth"": 2}",3,True,False,0,0.016,0.004320493798938572,0.012,0.022,"[0.012, 0.022, 0.014]",0.012000000000000002,0.022000000000000002,0.016,0.016,10010880
e98c9a22b8de,bdh,compose,7500,1,interp,"{""depth"": 1}",3,True,False,0,0.12666666666666668,0.012036980056845196,0.11,0.138,"[0.11, 0.138, 0.132]",0.11,0.138,0.12666666666666668,0.12666666666666668,10010880
e98c9a22b8de,bdh,compose,7500,1,interp,"{""depth"": 2}",3,True,False,0,0.08266666666666667,0.017613126418163875,0.058,0.098,"[0.058, 0.092, 0.098]",0.058,0.09800000000000002,0.08266666666666667,0.08266666666666667,10010880
e98c9a22b8de,bdh,compose,10000,1,interp,"{""depth"": 1}",3,True,False,0,0.10866666666666668,0.00928559218478941,0.096,0.118,"[0.112, 0.096, 0.118]",0.09600000000000002,0.118,0.10866666666666668,0.10866666666666668,10010880
e98c9a22b8de,bdh,compose,10000,1,interp,"{""depth"": 2}",3,True,False,0,0.10533333333333333,0.00573488351136175,0.098,0.112,"[0.106, 0.112, 0.098]",0.09800000000000002,0.112,0.10533333333333333,0.10533333333333333,10010880
e98c9a22b8de,bdh,compose,12500,1,interp,"{""depth"": 1}",3,True,False,0,0.12133333333333333,0.006599663291074444,0.114,0.13,"[0.12, 0.13, 0.114]",0.114,0.13,0.12133333333333333,0.12133333333333333,10010880
e98c9a22b8de,bdh,compose,12500,1,interp,"{""depth"": 2}",3,True,False,0,0.112,0.0043204937989385775,0.106,0.116,"[0.116, 0.106, 0.114]",0.106,0.116,0.112,0.112,10010880
e98c9a22b8de,bdh,compose,15000,1,interp,"{""depth"": 1}",3,True,False,0,0.12533333333333332,0.010873004286866732,0.114,0.14,"[0.114, 0.14, 0.122]",0.114,0.14,0.12533333333333332,0.12533333333333332,10010880
e98c9a22b8de,bdh,compose,15000,1,interp,"{""depth"": 2}",3,True,False,0,0.11333333333333333,0.012036980056845196,0.102,0.13,"[0.102, 0.13, 0.108]",0.102,0.13,0.11333333333333333,0.11333333333333333,10010880
